"Analytical_Method_ID","Lab_Name","Parameter","Analysis_ID","Analysis_ID_Source","Analysis_Name","CRWA_References","Data_Type","Container_Type","Sample_Volume","Container_Color","Sterile_Bottle","Chemical_Preserv","Thermal_Preserv","Other_Instructions","Holding_Time","MDL","Reporting_Limit","Action_Limit","Matrix"
"Alpha-BOD","Alpha","BOD5","405.1","USEPA","5 Day Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","2.0 mg/l","110 mg/l (p)","RW, SW"
"Alpha-BOD-2012","Alpha","BOD5","405.1/5210B","USEPA/APHA","5 Day Biochemical Oxygen Demand","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","2.0 mg/l","110 mg/l (a-2)","RW, SW"
"Alpha-CBOD","Alpha","CBOD5","5210B","APHA","5 Day Carbonaceous Biochemical Oxygen Demand","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","1.3 mg/l ","110 mg/l (p)","RW, SW"
"Alpha-CBOD-2012","Alpha","CBOD5","405.1/5210B","USEPA/APHA","5 Day Carbonaceous Biochemical Oxygen Demand","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","None required","Cool to 4°C","None","6 hrs/48 hrs","0.5 mg/l","1.3 mg/l ","110 mg/l (a-2)","RW, SW"
"Alpha-ChlorA","Alpha","Chlorophyll a","446","USEPA","Specrophotometric Determination","QAPP 2007-2009 Revision 2","C","Plastic","1000","Amber","NA","None required","Cool to 4°C","filter, freeze, keep filter in dark","Filter within 6 hrs, hold up to 21 days","0.001 mg/l ","0.002 mg/l","0.0037 mg/l (u)","RW, SW"
"Alpha-ChlorA-2012","Alpha","Chlorophyll a","446","USEPA","Specrophotometric Determination","QAPP 2010-2012 Revision 1","C","Plastic or Glass","1000","Amber","NA","None required","Cool to 4°C","At laboratory: filter, freeze, keep filter in dark","Filter within 6 hrs, hold up to 21 days","0.001 mg/l ","0.002 mg/l","0.0037 mg/l (a-5)","RW, SW"
"Alpha-Cl-2012","Alpha","Chloride","325.2","Modified USEPA","Chloride","QAPP 2010-2012 Revision 1","C","Plastic","250","NA","NA","None required","Cool to 4°C","None","28 days","0.5 mg/l","1.0 mg/l","860 mg/l (a-6)","RW, SW"
"Alpha-Cr-2012","Alpha","Chromium (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.005 mg/l","0.01 mg/l","1.82 mg/l (a-6, a-9)","RW, SW"
"Alpha-Cr-D","Alpha","Chromium (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.01 mg/l","0.016 mg/l (v)","RW, SW"
"Alpha-CrD-2012","Alpha","Chromium (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0006 mg/l","0.01 mg/l","0.016 mg/l (a-6)","RW, SW"
"Alpha-Cu-2012","Alpha","Copper (total)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","500","NA","NA","HNO3 to pH < 2","Cool to 4°C","None","Up to 6 months","0.005 mg/l","0.01 mg/l","0.01354 mg/l (a-6, a-9)","RW, SW"
"Alpha-Cu-D","Alpha","Copper (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2007-2009 Revision 2","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.01mg/l","0.013 mg/l (v)","RW, SW"
"Alpha-CuD-2012","Alpha","Copper (dissolved)","200.7","USEPA","Metals by Inductively Coupled Plasma","QAPP 2010-2012 Revision 1","C","Plastic","1000","NA","NA","HNO3 to pH < 2","Cool to 4°C","Field filter with 0.45 µm filter","Filter on-site, hold up to 6 months","0.0011 mg/l","0.01mg/l","0.013 mg/l (a-6)","RW, SW"
"Alpha-EC","Alpha","Escherichia coli","9213D","APHA","E. coli method","QAPP 2007-2009 Revision 2","C","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","1/100ml ","126 cfu/100ml (o)","RW, SW"
"Alpha-EC-2012","Alpha","Escherichia coli","9213D","APHA","E. coli Membrane Filtration","QAPP 2010-2012 Revision 1","C, NC","Plastic","100","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","0 CFU/ 100ml","1/100ml ","126 cfu/100ml (a-1)","RW, SW"
"Alpha-Ent","Alpha","Enterococcus","1600","USEPA","Enterococci in Water by Membrane Filtration","QAPP 2007-2009 Revision 2","C","Plastic","120","NA","Sterile","None required","Cool to 4°C","None","6 hrs/6 hrs","<2 MPN/100ml","2/100ml ","61 cfu/100ml (p)","RW, SW"
