"Collection_ID","Collection_ID_Source","Collection_Name","Collection_Equip","SOP_Name"
"C-BABN","CRWA","Critical basket from bank","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-BABO","CRWA","Critical basket from boat","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-BABR","CRWA","Critical basket from bridge","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-BAW","CRWA","Critical basket while wading","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-BESW","CRWA","Critical stormwater sample collection with decontaminated bern","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-BUBR","CRWA","Critical decontaminated bucket from bridge","Bucket","FDSMPL-O-10 012711 Rev. 10"
"C-DDL","CRWA","Critical deployed datalogger","Logger","DEPTHLOG-O-01 103009 Rev. 2; SONDE-O-09 011411 Rev. 3; YSI600RSOP-A-10 112111 Rev. 2; BUBBLER-O-10 012811 Rev.2; ISCO674RAIN-O-10 101210 Rev. 1"
"Chelsea","City of Chelsea","Variable","Variable",
"C-IS","CRWA","Critical in situ measurement","Field Equipment","SONDE-O-09 011411 Rev. 3; YSI600RSOP-A-10 112111 Rev. 2; YSI556 SOP-O-09 012711 Rev. 2; YSI85SOP-O-01 012711 Rev. 3"
"C-MGBN","CRWA","Critical manual grab from bank","N/A","FDSMPL-O-10 012711 Rev. 10"
"C-MGBO","CRWA","Critical manual grab from a boat","N/A","FDSMPL-O-10 012711 Rev. 10"
"C-MGW","CRWA","Critical manual grab while wading","N/A","FDSMPL-O-10 012711 Rev. 10"
"C-OPDP","CRWA","Critical deployed optical brighten pad","Miscellaneous (Other)","OBP-O-09 031109 Rev. 0"
"C-SCSW","CRWA","Critical stormwater sample collection with decontaminated scoop","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-SPBN","CRWA","Critical sampling pole from bank","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-SPBR","CRWA","Critical sampling pole from bridge","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"C-SPW","CRWA","Critical sampling pole while wading","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"EPA","EPA","Variable","Variable",
"MyRWA-baseline","MyRWA","Variable","Variable",
"MyRWA-other","MyRWA","Variable","Variable",
"N-BABN","CRWA","Non-critical basket from bank","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"N-BABR","CRWA","Non-critical basket from bridge","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"N-BAW","CRWA","Non-critical basket while wading","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"N-BUBN","CRWA","Non-critical decontaminated bucket from bank","Bucket","FDSMPL-O-10 012711 Rev. 10"
"N-BUBR","CRWA","Non-critical decontaminated bucket from bridge","Bucket","FDSMPL-O-10 012711 Rev. 10"
"N-BUW","CRWA","Non-critical decontaminated bucket while wading","Bucket","FDSMPL-O-10 012711 Rev. 10"
"N-DL","CRWA","Non-critical depth line measurement","Miscellaneous (Other)","FDDPTH-O-07 103009 Rev. 3"
"N-MGBN","CRWA","Non-critical manual grab from bank","N/A","FDSMPL-O-10 012711 Rev. 10"
"N-MGBO","CRWA","Non-critical manual grab from a boat","N/A","FDSMPL-O-10 012711 Rev. 10"
"N-MGW","CRWA","Non-critical manual grab while wading","N/A","FDSMPL-O-10 012711 Rev. 10"
"N-SPBN","CRWA","Non-critical sampling pole from bank","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"N-SPBR","CRWA","Non-critical sampling pole from bridge","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
"N-SPW","CRWA","Non-critical sampling pole while wading","Water Sampler (Other)","FDSMPL-O-10 012711 Rev. 10"
