"Site_ID","Site_Name","Town","Org_ID","Org_Name","SiteTypeID","WaterbodyID","Latitude_DD","Longitude_DD","Coordinate_Collection_Method","Datum","HUC8","HUC10","HUC12","WBID","WBID_Year","River_Mile_Headwaters","River_Mile_Mouth","River_Mile_Collection_Method","Site_Description","Site_Comment","Alternate_ID","Alternate_ID_Source"
"012S","Watertown Dam Footbridge","Watertown","CRWA","Charles River Watershed Association",1,4,"42.3651","-71.1903","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-07_2002","","69.5 MI","10.5","","42-21.92, 71-11.39, ABOVE WATERTOWN DAM AT FOOTBRIDGE","","",""
"12CS","Above Waterworks Dam","Milford","CRWA","Charles River Watershed Association",1,4,"42.1738","-71.5084","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Cedar St, Rt 85, above Waterworks Dam","","",""
"130S","Maple St. Bridge","Bellingham","CRWA","Charles River Watershed Association",1,4,"42.1195","-71.4534","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010601","MA72-04_2002","","13.0 MI","67","","MAPLE STREET BRIDGE, BELLINGHAM","","13CS","CRWA"
"13CS","Maple St","Bellingham","CRWA","Charles River Watershed Association",1,4,"42.1195","-71.4534","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Maple St below N Bellingham Dam, just below 129S","","",""
"143S","Outlet Caryville Dam","Bellingham","CRWA","Charles River Watershed Association",1,4,"42.1311","-71.4442","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Outlet Caryville Dam","","",""
"148T","Hopping Bk at Hartford Ave / Rte 126","Bellingham","CRWA","Charles River Watershed Association",1,11,"42.1345","-71.4458","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Hopping Bk at Hartford Ave / Rte 126","","",""
"156S","Inlet W Medway Dam","Franklin/Medway","CRWA","Charles River Watershed Association",1,4,"42.1387","-71.4292","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Franklin/Pond St,  below Hopping Bk, above Mine Bk","","",""
"157T1","Mine Bk at Pond St","Franklin/Medway","CRWA","Charles River Watershed Association",1,14,"42.1246","-71.4305","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Mine Bk at Pond St","","",""
"157T2","Miscoe Bk at South St","Franklin/Medway","CRWA","Charles River Watershed Association",1,15,"42.0409","-71.4265","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Miscoe Bk at South St","","",""
"159S","Outlet W Medway Dam","Franklin/Medway","CRWA","Charles River Watershed Association",1,4,"42.1391","-71.4242","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Outlet of W Medway Dam, below Mine Bk, above Chick","","",""
"159T","Chicken Brook at Cottage St","Franklin/Medway","CRWA","Charles River Watershed Association",1,7,"42.1408","-71.4233","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","Chicken Brook at Cottage St","","",""
"165S","Shaw St. / Elm St. Bridge","Franklin/Medway","CRWA","Charles River Watershed Association",1,4,"42.1365","-71.4185","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010602","MA72-04_2002","","16.5 MI","63.5","","16.5 MI, SHAW STREET, FRANKLIN","","",""
"184S","USGS Medway Gage","Medway","CRWA","Charles River Watershed Association",1,4,"42.14","-71.3897","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","Walker St, USGS Medway gage","","",""
"199S","Populatic Pond Boat Launch","Norfolk","CRWA","Charles River Watershed Association",1,4,"42.1311","-71.3768","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010602","MA72-04_2002","","19.9 MI","60.1","","19.9 MI, EASTERN ACCESS POPULATIC POND, NORFOLK","","",""
"1NBS","North Beacon St. Bridge-Center","Watertown","CRWA","Charles River Watershed Association",1,4,"42.3589","-71.1619","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Center of N Beacon St. Bridge","","",""
