"DATE","ID","Precipitation"
"01/01/1995",1,1.07
"01/02/1995",2,0.44
"01/03/1995",3,0.00
"01/04/1995",4,0.00
"01/05/1995",5,0.00
"01/06/1995",6,0.01
"01/07/1995",7,0.49
"01/08/1995",8,0.00
"01/09/1995",9,0.00
"01/10/1995",10,0.00
"01/11/1995",11,0.19
"01/12/1995",12,0.33
"01/13/1995",13,0.07
"01/14/1995",14,0.03
"01/15/1995",15,0.02
"01/16/1995",16,0.18
"01/17/1995",17,0.02
"01/18/1995",18,0.03
"01/19/1995",19,0.08
"01/20/1995",20,1.20
"01/21/1995",21,0.11
"01/22/1995",22,0.03
"01/23/1995",23,0.03
"01/24/1995",24,0.00
"01/25/1995",25,0.00
"01/26/1995",26,0.00
"01/27/1995",27,0.00
"01/28/1995",28,0.00
"01/29/1995",29,0.00
"01/30/1995",30,0.00
"01/31/1995",31,0.00
"02/01/1995",32,0.00
"02/02/1995",33,0.00
"02/03/1995",34,0.00
"02/04/1995",35,0.78
"02/05/1995",36,0.01
"02/06/1995",37,0.00
"02/07/1995",38,0.00
"02/08/1995",39,0.00
"02/09/1995",40,0.00
"02/10/1995",41,0.00
"02/11/1995",42,0.00
"02/12/1995",43,0.00
"02/13/1995",44,0.00
"02/14/1995",45,0.00
"02/15/1995",46,0.09
"02/16/1995",47,0.24
"02/17/1995",48,0.00
"02/18/1995",49,0.00
"02/19/1995",50,0.00
"02/20/1995",51,0.00
"02/21/1995",52,0.02
"02/22/1995",53,0.02
"02/23/1995",54,0.14
"02/24/1995",55,0.23
"02/25/1995",56,0.03
"02/26/1995",57,0.00
"02/27/1995",58,0.17
"02/28/1995",59,0.84
"03/01/1995",60,0.00
"03/02/1995",61,0.00
"03/03/1995",62,0.00
"03/04/1995",63,0.00
"03/05/1995",64,0.20
"03/06/1995",65,0.08
"03/07/1995",66,0.01
"03/08/1995",67,0.01
"03/09/1995",68,0.82
"03/10/1995",69,0.00
"03/11/1995",70,0.03
"03/12/1995",71,0.00
"03/13/1995",72,0.00
"03/14/1995",73,0.00
"03/15/1995",74,0.01
"03/16/1995",75,0.00
"03/17/1995",76,0.61
"03/18/1995",77,0.01
"03/19/1995",78,0.00
"03/20/1995",79,0.00
"03/21/1995",80,0.23
"03/22/1995",81,0.00
"03/23/1995",82,0.07
"03/24/1995",83,0.05
"03/25/1995",84,0.00
"03/26/1995",85,0.00
"03/27/1995",86,0.00
"03/28/1995",87,0.00
"03/29/1995",88,0.00
"03/30/1995",89,0.07
"03/31/1995",90,0.00
"04/01/1995",91,0.00
"04/02/1995",92,0.00
"04/03/1995",93,0.00
"04/04/1995",94,0.07
"04/05/1995",95,0.00
"04/06/1995",96,0.00
"04/07/1995",97,0.00
"04/08/1995",98,0.01
"04/09/1995",99,0.09
"04/10/1995",100,0.00
"04/11/1995",101,0.00
