,Date_Collected,Reporting_Result
0,2002-06-30,370.0
1,2002-07-31,1100.0
2,2002-08-31,260.0
3,2002-09-30,1600.0
4,2002-10-31,80.25
5,2002-11-30,250.0
6,2002-12-31,120.25
7,2003-01-31,
8,2003-02-28,
9,2003-03-31,40.0
10,2003-04-30,20.0
11,2003-05-31,300.0
12,2003-06-30,210.0
13,2003-07-31,250.0
14,2003-08-31,280.0
15,2003-09-30,1240.0
16,2003-10-31,60.0
17,2003-11-30,120.0
18,2003-12-31,400.0
19,2004-01-31,
20,2004-02-29,
21,2004-03-31,20.0
22,2004-04-30,530.0
23,2004-05-31,
24,2004-06-30,
25,2004-07-31,
26,2004-08-31,
27,2004-09-30,
28,2004-10-31,
29,2004-11-30,
30,2004-12-31,390.0
31,2005-01-31,
32,2005-02-28,1180.0
33,2005-03-31,410.0
34,2005-04-30,260.0
35,2005-05-31,240.0
36,2005-06-30,260.0
37,2005-07-31,
38,2005-08-31,490.0
39,2005-09-30,120.0
40,2005-10-31,180.0
41,2005-11-30,20.0
42,2005-12-31,50.0
43,2006-01-31,
44,2006-02-28,
45,2006-03-31,
46,2006-04-30,45.0
47,2006-05-31,1700.0
48,2006-06-30,175.0
49,2006-07-31,205.0
50,2006-08-31,70.0
51,2006-09-30,186.0
52,2006-10-31,517.0
53,2006-11-30,205.0
54,2006-12-31,249.0
55,2007-01-31,
56,2007-02-28,
57,2007-03-31,240.0
58,2007-04-30,46.5
59,2007-05-31,275.0
60,2007-06-30,120.0
61,2007-07-31,63.0
62,2007-08-31,318.0
63,2007-09-30,158.0
64,2007-10-31,31.0
65,2007-11-30,295.0
66,2007-12-31,
67,2008-01-31,
68,2008-02-29,
69,2008-03-31,233.0
70,2008-04-30,31.0
71,2008-05-31,134.0
72,2008-06-30,2610.0
73,2008-07-31,161.0
74,2008-08-31,134.0
75,2008-09-30,54.25
76,2008-10-31,41.0
77,2008-11-30,63.0
78,2008-12-31,262.0
79,2009-01-31,122.0
80,2009-02-28,74.0
81,2009-03-31,86.0
82,2009-04-30,31.75
83,2009-05-31,231.0
84,2009-06-30,1310.0
85,2009-07-31,146.0
86,2009-08-31,193.0
87,2009-09-30,103.5
88,2009-10-31,262.0
89,2009-11-30,327.0
90,2009-12-31,183.0
91,2010-01-31,98.0
92,2010-02-28,74.0
93,2010-03-31,2605.0
94,2010-04-30,74.0
95,2010-05-31,240.0
96,2010-06-30,278.0
97,2010-07-31,1090.0
98,2010-08-31,262.0
99,2010-09-30,171.0
100,2010-10-31,52.0
101,2010-11-30,69.0
102,2010-12-31,345.0
103,2011-01-31,98.0
104,2011-02-28,
105,2011-03-31,97.0
106,2011-04-30,20.0
107,2011-05-31,305.0
108,2011-06-30,
109,2011-07-31,218.0
110,2011-08-31,743.0
111,2011-09-30,20.0
112,2011-10-31,74.0
113,2011-11-30,31.0
114,2011-12-31,52.0
115,2012-01-31,158.0
116,2012-02-29,
117,2012-03-31,145.0
118,2012-04-30,5.0
119,2012-05-31,226.0
120,2012-06-30,122.0
121,2012-07-31,110.0
122,2012-08-31,
123,2012-09-30,186.0
124,2012-10-31,1310.0
125,2012-11-30,85.0
126,2012-12-31,1240.0
127,2013-01-31,74.0
128,2013-02-28,
129,2013-03-31,
130,2013-04-30,41.0
131,2013-05-31,171.0
132,2013-06-30,213.0
133,2013-07-31,171.0
134,2013-08-31,97.0
135,2013-09-30,121.0
136,2013-10-31,275.0
137,2013-11-30,169.0
138,2013-12-31,20.0
139,2014-01-31,426.0
140,2014-02-28,122.0
141,2014-03-31,74.0
142,2014-04-30,74.0
143,2014-05-31,512.0
144,2014-06-30,833.0
145,2014-07-31,712.0
146,2014-08-31,820.0
147,2014-09-30,171.0
148,2014-10-31,121.0
149,2014-11-30,706.0
150,2014-12-31,272.5
151,2015-01-31,
152,2015-02-28,
153,2015-03-31,121.0
154,2015-04-30,74.0
155,2015-05-31,520.0
156,2015-06-30,379.0
157,2015-07-31,108.0
158,2015-08-31,146.0
159,2015-09-30,110.0
160,2015-10-31,145.0
161,2015-11-30,97.0
162,2015-12-31,2540.0
163,2016-01-31,586.0
164,2016-02-29,41.0
165,2016-03-31,160.0
166,2016-04-30,216.0
167,2016-05-31,146.0
168,2016-06-30,262.0
169,2016-07-31,243.0
170,2016-08-31,3080.0
171,2016-09-30,907.0
172,2016-10-31,512.0
173,2016-11-30,229.5
174,2016-12-31,231.0
175,2017-01-31,63.0
176,2017-02-28,74.0
177,2017-03-31,41.0
178,2017-04-30,41.0
179,2017-05-31,301.0
180,2017-06-30,565.0
181,2017-07-31,199.0
182,2017-08-31,74.0
183,2017-09-30,152.0
184,2017-10-31,110.0
185,2017-11-30,156.0
186,2017-12-31,173.0
187,2018-01-31,
188,2018-02-28,
189,2018-03-31,
190,2018-04-30,
191,2018-05-31,
192,2018-06-30,1495.0
193,2018-07-31,345.0
194,2018-08-31,74.0
195,2018-09-30,1990.0
196,2018-10-31,228.0
197,2018-11-30,153.0
198,2018-12-31,41.0
