Date_Collected,Site_Name,Town,Latitude_DD,Longitude_DD,Reporting_Result,Unit_Abbreviation,Component,Limit,averages_by_site,is_last_sampling
1995-07-25,Rt. 9 Gaging Station,Newton/Wellesley,42.3165,-71.2281,270,cfu/100ml,E.coli,no swimming or fishing,684.917681156522,Not Last Month
1995-07-25,"Rt. 115, Baltimore St.",Millis,42.1433,-71.3493,380,cfu/100ml,E.coli,no swimming or fishing,378.68937007874,Not Last Month
1995-07-25,Central Street Bridge,Milford,42.1395,-71.5123,414000,cfu/100ml,E.coli,no boating,2790.5231316726,Not Last Month
1995-07-25,Elm Bank / Cheney Dr. Bridge,Wellesley/Dover,42.2757,-71.3095,440,cfu/100ml,E.coli,no swimming or fishing,145.164728682171,Not Last Month
1995-07-25,"USGS Dover Gage, Mill St.",Dover/Needham,42.2563,-71.2596,40,cfu/100ml,E.coli,safe,138.335321100917,Not Last Month
1995-07-25,"USGS Dover Gage, Mill St.",Dover/Needham,42.2563,-71.2596,60,cfu/100ml,E.coli,safe,138.335321100917,Not Last Month
1995-07-25,"Auburndale Park, Lakes Region",Waltham,42.3615,-71.2501,130,cfu/100ml,E.coli,no swimming or fishing,166.131764705882,Not Last Month
1995-07-25,N. Beacon St. Bridge,Brighton/Watertown,42.3589,-71.1616,310,cfu/100ml,E.coli,no swimming or fishing,395.478181818182,Not Last Month
1995-07-25,"Rt. 126, N. Main St.",Bellingham,42.0943,-71.476,36000,cfu/100ml,E.coli,no boating,557.73326848249,Not Last Month
1995-07-25,West St. / Dover Rd. ,Medfield/Millis,42.1888,-71.3333,80,cfu/100ml,E.coli,safe,165.542696629213,Not Last Month
1995-07-25,Rt. 109 Bridge,Boston/Dedham,42.2708,-71.1732,120,cfu/100ml,E.coli,safe,309.505653710247,Not Last Month
1995-07-25,Eliot St. Bridge,Boston/Cambridge,42.3716,-71.1328,40,cfu/100ml,E.coli,safe,497.014388489209,Not Last Month
1995-07-25,North St. Bridge,Newton/Waltham/Watertown,42.3672,-71.2182,890,cfu/100ml,E.coli,no boating,289.11496350365,Not Last Month
1995-07-25,Leo J. Martin Golf Course / Park Rd.,Newton/Weston,42.3306,-71.268,610,cfu/100ml,E.coli,no swimming or fishing,262.970802919708,Not Last Month
1995-07-25,Greendale Ave. / Lyons St. / Dedham Medical Center,Dedham/Needham ,42.267,-71.205,70,cfu/100ml,E.coli,safe,192.001811594203,Not Last Month
1995-07-25,Farm Rd./Bridge St.,Dover/Sherborn,42.2326,-71.3303,20,cfu/100ml,E.coli,safe,137.754198473282,Not Last Month
