Station,Lat,Lon
STOVEPIPE WELLS 1 SW,36.602,-117.1449
DEATH VALLEY,36.4622,-116.8669
IMPERIAL COUNTY AP,32.83417,-115.57861
YUMA 13.8 ESE,32.6341,-114.4056
YUMA 7.7 SE,32.6432,-114.523
YUMA PROVING GROUND,32.8356,-114.3942
YUMA 27 ENE,32.835,-114.1884
SOMERTON 3.0 ESE,32.5676,-114.6555
INDIO FIRE STATION,33.7086,-116.2152
TWENTYNINE PALMS,34.128,-116.0369
YUMA MCAS - COOP,32.65,-114.61667
LAVEEN 3 SSE,33.3371,-112.147
AMBOY,34.5591,-115.7441
SPRINGFIELD COMANCHE NATIONAL GRASSLAND,37.28333,-102.61389
TWENTYNINE PALMS MC,34.3,-116.16667
BIG SPRING MCMAHON WRINKLE AIRPORT,32.2125,-101.52139
NEEDLES AP,34.7675,-114.6188
OCOTILLO WELLS 2W,33.1552,-116.1688
BLYTHE ASOS,33.6186,-114.7142
TOLLESON 1 E,33.4519,-112.2433
BISHOP AP,37.3711,-118.358
LANDERS 1.6 NE,34.2828,-116.3751
DESERT RESORTS REGIONAL AP,33.62667,-116.15944
HIDDEN VALLEY RANCH,32.4298,-107.7611
DAGGETT AP,34.8536,-116.7858
LANCASTER 6.5 ENE,34.7184,-118.0659
TWENTYNINE PALMS 12E - WONDER VALLEY,34.1206,-115.85
LOVELOCK DERBY FIELD AP,40.0681,-118.5692
INDEPENDENCE,36.798,-118.2036
MECCA FIRE STATION,33.5697,-116.073
TRONA,35.7636,-117.3908
TONOPAH,38.05111,-117.09028
LAHONTAN DAM,39.4688,-119.0644
CLOVIS MUNICIPAL AP,34.43333,-103.08333
PALMDALE AP,34.62944,-118.08361
DEEP CANYON LAB,33.6513,-116.3763
LAS VEGAS 2.2 SW,36.1833,-115.2503
FALLON EXPERIMENT STATION,39.4572,-118.7811
CHIRIACO SUMMIT,33.6617,-115.7206
YERINGTON,38.9991,-119.1575
LANCASTER,34.7411,-118.2116
HOBBS FAA,32.6933,-103.2125
DUFURRENA - DENIO 22WSW,41.8679,-119.0147
ESKDALE,39.1077,-113.9533
YUCCA MESA,34.2182,-116.4073
LAS VEGAS AIR TERMINAL,36.21167,-115.19583
LAS VEGAS MCCARRAN INTL AP,36.0719,-115.1634
HANKSVILLE,38.36921,-110.71447
WENDOVER AIRPORT - AWOS,40.7206,-114.0358
BORREGO DESERT PARK,33.2559,-116.4036
LAUGHLIN,35.1691,-114.5805
VICTORVILLE,34.52918,-117.29288
BULLHEAD CITY,35.1411,-114.5686
BARSTOW,34.8927,-117.0219
PALM SPRINGS ASOS,33.8222,-116.5043
SANTA TERESA 0.5 SSE,31.85,-106.6351
EL PASO 7.8 WNW,31.8755,-106.5677
LAKE HAVASU CITY,34.5031,-114.3604
BIG PINE 0.5 ENE,37.1688,-118.2878
SMITH 6 N,38.8822,-119.3511
TONOPAH,38.0694,-117.2355
LAS VEGAS WFO,36.0469,-115.1848
BOSQUE FARMS 1.0 N,34.8695,-106.7015
PALM SPRINGS,33.8275,-116.5097
BARROW WSO AP,71.2834,-156.78149
PEARBLOSSOM,34.5025,-117.8969
SMOKY VALLEY - CARVERS,38.784,-117.1739
HAYFIELD PUMPING PLANT,33.7044,-115.6289
MOAB CANYONLAND AP,38.75,-109.76278
BOUSE,33.9431,-114.0242
SOMBRA ANTIGUA VINEYARD,32.0241,-106.6788
JOSHUA TREE,34.1471,-116.2747
LAMAR MUNICIPAL AP,38.07,-102.68806
SANTA TERESA 1.1 NNW,31.8688,-106.6487
DESERT NATIONAL WILDLIFE RANGE,36.4381,-115.3601
LAS CRUCES MUNICIPAL AP,32.28333,-106.91667
SUN CITY 1.2 NNW,33.6321,-112.2903
PARTOUN,39.6309,-113.8858
BRADLEY TELEMETERING,35.93028,-120.86778
PAGE MUNICIPAL AP,36.92611,-111.44778
EL PASO 6.9 WNW,31.877,-106.5503
BUCKEYE 7.8 SE,33.3355,-112.4871
ROME 2 NW,42.8592,-117.6569
DEAVER,44.89201,-108.59291
MOUNTAIN HOME AFB,43.05,-115.86667
LAS VEGAS 7.8 SW,36.0972,-115.2642
TEMPE 4.0 SW,33.3707,-111.9503
LAS CRUCES,32.3,-106.76667
SANTA TERESA AIRPORT,31.8727,-106.698
FALLON 0.8 WSW,39.4712,-118.7915
ONTARIO,44.0206,-117.0128
RIO RANCHO 3.5 W,35.2823,-106.7207
DELL CITY 1.4 SW,31.9231,-105.218
MERCURY 3 SSW,36.624,-116.0225
SANTA TERESA 1.4 SW,31.8428,-106.658
TOPOCK 3.3 NNW,34.7663,-114.4954
PALMDALE,34.5883,-118.0938
PAHRUMP 4 NW,36.2615,-116.0563
PHOENIX 9.5 SE,33.3289,-111.9739
JEMEZ DAM,35.3886,-106.5438
PHOENIX AIRPORT,33.4277,-112.0038
BULLFROG BASIN,37.53,-110.7203
DESERET,39.2872,-112.6519
ARIZONA CITY,32.7306,-111.6917
UTQIAGVIK FORMERLY BARROW 4 ENE,71.3213,-156.61099
KOFA MINE,33.2742,-113.9653
BISHOP 8.5 WSW,37.3227,-118.5404
PHOENIX 10.2 S,33.2938,-112.0888
LOS LUNAS 3.5 E,34.8084,-106.6766
BAKER CITY AIRPORT,44.8428,-117.8086
ALPINE,70.3463,-150.92821
DELANO,35.7683,-119.26
CORCORAN IRRIGATION DIST.,36.0975,-119.5817
LITCHFIELD PARK 1.1 E,33.5041,-112.3399
NEWPORT BEACH HARBOR,33.6031,-117.8836
ROBSON RANCH,32.8118,-111.6313
LA UNION 2.2 SE,31.9232,-106.6443
POWELL FIELD STATION,44.7763,-108.7591
RIO RANCHO #2,35.2522,-106.6347
DEMING 11.6 S,32.0945,-107.7689
ALBUQUERQUE INTL AP,35.0419,-106.6155
AJO,32.3698,-112.8599
EWA KALAELOA AP,21.31667,-158.06667
ROME STATE AIRPORT,42.59056,-117.86444
PHOENIX 6.3 SSW,33.3504,-112.0945
TEMPE 3.3 S,33.3404,-111.9303
GILBERT 3.6 ENE,33.3671,-111.7204
QUEEN CREEK 8.2 ESE,33.1957,-111.5127
LA JOLLA 2.5SE,32.8254,-117.2397
BLACK ROCK,38.7076,-112.9539
LAS CRUCES 20 N,32.6137,-106.7414
RANDSBURG,35.3692,-117.6525
FMSP MCKELLIGON,31.8425,-106.4864
RIO RANCHO 2.3 SSE,35.242,-106.6471
CASA GRANDE 6.5 NNW,32.9603,-111.7841
